csr_id,target,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F219,F220,F221,F222,F223,F224,F225,F226,F227,F228,F229,F230,F231,F232,F233,F234,F235,F236,F237,F238,F239,F240,F241,F242,F243,F244,F245,F246
633,0,4,0,0,0,2,12,26,8,0,0,0,18,0,0,0,0,0,0,0,0,0,19,8,26,0,0,2,2,9,0,0,0,0,43,29,19,7,0,3,0,1,241,7,0,23,0,0,0,5,0,4,0,0,0,39,1,0,0,15,0,0,1,2,0,0,0,24,1,1,23,118,2,feiji,M,41,,0,0,,无等级,0,36.74,0,0,0,36.74,424.557,0,-3.2,0,422.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
430,1,25,2,3,45,21,16,1,1,6,0,0,0,0,0,0,0,0,0,0,0,8,12,6,5,0,0,12,9,0,0,0,0,0,5,0,3,0,0,57,27,14,147,0,0,,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,0,0,0,2,0,0,3,2,4,49,72,1,lvyou,M,29,,2,0,,无等级,0,0.06,0,0,504.1,504.16,0.963,0,32.88,45.562,62.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,,,,,,,,,,,
5766,0,7,0,0,30,12,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,51,7,0,0,0,0,3,0,2,0,22,27,30,45,111,0,0,0,0,0,0,0,1,13,4,0,0,14,0,0,0,0,0,4,0,5,31,0,0,5,0,0,1,51,1,feiji,M,21,,1,0,,无等级,0,0.002,0,0,0,0.002,0.277,0,0.3,0,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
7585,0,45,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,13,1,0,0,25,9,116,0,0,,2,0,0,0,0,1,0,0,1,1,0,0,0,24,0,0,0,0,0,0,0,2,0,0,23,31,1,lvyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,0,4,0,0,2,0,4,2,0,0,0,1,25,0,0,0,0,0,2,2,0,0,0,3,34,1,0,3,1,1,0,0,0,0,26,0,0,0,20,124,29,39,161,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,2,xchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,0,8,0,0,58,44,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,32,21,0,0,0,0,0,0,0,1,0,5,0,46,23,162,0,0,104,5,0,0,1,6,4,0,39,0,38,0,0,0,2,0,0,0,1,0,0,0,0,0,0,41,46,2,JIUDIAN,M,22,,0,0,,无等级,0,4.815,0,5.346,0,7.488,49.366,0,63.274,0,81.003,0,0,0,0,4436.2,0,4436.2,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,0,0,0,0,0,14751.19,0,14751.19,0,0,0,0,0,0,0,0,0,0,146,0,146,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,
4979,0,29,0,0,42,10,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17,27,0,0,0,0,0,5,10,0,0,10,0,6,11,107,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,8,0,0,1,1,7,6,57,1,lvyou,M,39,,,0,,无等级,0,0,0,0,0,0,0,0,0,-0.8,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269,0,7,0,0,8,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14,1,0,4,9,0,0,0,0,0,6,0,4,0,0,0,6,11,118,16,0,2,2,0,0,0,11,0,0,0,0,1,0,0,2,7,0,0,1,0,0,0,0,2,0,1,37,36,2,xchen,F,44,,0,0,,无等级,0,28.883,0,0,0,28.883,300.834,0,0,0,300.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
8792,0,6,0,0,24,8,0,15,31,0,0,0,4,0,0,0,0,0,0,0,0,1,3,1,39,0,0,8,9,10,0,0,0,0,30,0,3,0,11,0,3,0,72,0,0,1,0,0,0,3,4,0,0,0,0,3,45,0,0,7,1,0,0,0,0,0,0,2,0,0,20,41,2,xchen,M,26,,,0,,无等级,0,0,0,0,100.16,100.16,0,0,0,723.062,723.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,,,,,,,,,,,
6406,0,31,0,0,25,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,34,20,0,0,0,0,0,13,37,31,0,53,0,3,0,195,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,1,0,1,41,16,1,lvyou,M,36,,,0,,无等级,0,0,0,0,-0.12,-0.12,0,0,0,-0.173,-0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
